163810.00,000.00,3250.76691,09646.74462
163811.00,000.00,3250.76692,09646.74463
163812.00,000.00,3250.76693,09646.74465
163813.00,000.00,3250.76693,09646.74468
163814.00,000.00,3250.76693,09646.74470
163815.00,000.00,3250.76691,09646.74472
163816.00,000.00,3250.76691,09646.74473
163817.00,000.00,3250.76688,09646.74474
163818.00,000.00,3250.76688,09646.74474
163819.00,000.00,3250.76686,09646.74475
163820.00,000.00,3250.76685,09646.74474
163821.00,000.00,3250.76684,09646.74472
163822.00,000.00,3250.76681,09646.74469
163823.00,000.00,3250.76679,09646.74466
163824.00,000.00,3250.76675,09646.74464
163825.00,000.32,3250.76679,09646.74459
163826.00,000.32,3250.76680,09646.74451
163827.00,000.00,3250.76675,09646.74454
163828.00,000.00,3250.76673,09646.74452
163829.00,000.00,3250.76671,09646.74450
163830.00,000.00,3250.76667,09646.74448
163831.00,001.19,3250.76648,09646.74441
163832.00,001.05,3250.76634,09646.74436
163833.00,002.49,3250.76596,09646.74429
163834.00,003.80,3250.76542,09646.74414
163835.00,008.02,3250.76419,09646.74396
163836.00,011.21,3250.76253,09646.74363
163837.00,010.71,3250.76094,09646.74355
163838.00,009.34,3250.75955,09646.74359
163839.00,009.89,3250.75803,09646.74362
163840.00,010.85,3250.75639,09646.74373
163841.00,010.23,3250.75486,09646.74376
163842.00,009.23,3250.75343,09646.74379
163843.00,011.29,3250.75170,09646.74383
163844.00,010.30,3250.75012,09646.74377
163845.00,007.16,3250.74903,09646.74368
163846.00,004.48,3250.74834,09646.74369
163847.00,006.09,3250.74737,09646.74367
163848.00,006.09,3250.74641,09646.74368
163849.00,005.10,3250.74558,09646.74365
163850.00,006.93,3250.74452,09646.74383
163851.00,011.89,3250.74284,09646.74475
163852.00,016.68,3250.74132,09646.74713
163853.00,018.61,3250.74066,09646.75032
163854.00,022.07,3250.74038,09646.75424
163855.00,024.77,3250.74042,09646.75862
163856.00,026.08,3250.74033,09646.76323
163857.00,027.33,3250.74024,09646.76809
163858.00,027.69,3250.74008,09646.77299
163859.00,029.31,3250.73996,09646.77818
163900.00,030.38,3250.73983,09646.78357
163901.00,031.71,3250.73994,09646.78919
163902.00,032.06,3250.73988,09646.79483
163903.00,031.92,3250.73979,09646.80048
163904.00,032.92,3250.73976,09646.80629
163905.00,032.80,3250.73956,09646.81208
163906.00,032.74,3250.73952,09646.81786
163907.00,030.57,3250.73948,09646.82328
163908.00,028.76,3250.73949,09646.82835
163909.00,028.52,3250.73944,09646.83338
163910.00,026.96,3250.73945,09646.83813
163911.00,023.98,3250.73938,09646.84240
163912.00,021.69,3250.73937,09646.84624
163913.00,019.62,3250.73956,09646.84969
163914.00,015.54,3250.74032,09646.85228
163915.00,013.88,3250.74174,09646.85404
163916.00,014.24,3250.74365,09646.85491
163917.00,010.97,3250.74524,09646.85498
163918.00,009.21,3250.74654,09646.85499
163919.00,011.94,3250.74827,09646.85505
163920.00,014.36,3250.75039,09646.85522
163921.00,014.38,3250.75254,09646.85522
163922.00,016.84,3250.75508,09646.85522
163923.00,019.02,3250.75796,09646.85514
163924.00,018.66,3250.76073,09646.85494
163925.00,020.07,3250.76377,09646.85464
163926.00,019.68,3250.76673,09646.85443
