-86.061,-78.042,2012-09-18 11:41:23.968000
-87.125,-78.052,2012-09-18 11:41:24.203000
-88.584,-47.235,2012-09-18 11:41:24.500000
-88.617,-79.988,2012-09-18 11:41:24.781000
-88.642,-79.745,2012-09-18 11:41:25.062000
-87.872,-78.435,2012-09-18 11:41:25.375000
-86.665,-79.282,2012-09-18 11:41:25.656000
-86.012,-79.941,2012-09-18 11:41:25.937000
-73.656,-80.779,2012-09-18 11:41:26.218000
-87.276,-80.536,2012-09-18 11:41:26.515000
-86.721,-79.698,2012-09-18 11:41:26.796000
-86.922,-77.795,2012-09-18 11:41:27.078000
-86.348,-79.167,2012-09-18 11:41:27.390000
-85.518,-79.825,2012-09-18 11:41:27.671000
-86.061,-59.131,2012-09-18 11:41:27.953000
-90.418,-79.65,2012-09-18 11:41:28.250000
-89.101,-79.777,2012-09-18 11:41:28.546000
-71.568,-79.666,2012-09-18 11:41:28.828000
-71.647,-47.24,2012-09-18 11:41:29.109000
-71.872,-47.267,2012-09-18 11:41:29.406000
-71.246,-80.887,2012-09-18 11:41:29.687000
-71.843,-80.607,2012-09-18 11:41:29.984000
-71.732,-81.647,2012-09-18 11:41:30.281000
-67.495,-80.549,2012-09-18 11:41:30.578000
-71.351,-80.574,2012-09-18 11:41:30.859000
-71.158,-80.638,2012-09-18 11:41:31.140000
-71.92,-81.502,2012-09-18 11:41:31.437000
-71.566,-80.699,2012-09-18 11:41:31.718000
-71.24,-79.807,2012-09-18 11:41:32
-71.749,-80.395,2012-09-18 11:41:32.281000
-71.408,-81.169,2012-09-18 11:41:32.578000
-71.324,-59.658,2012-09-18 11:41:32.859000
-71.075,-81.854,2012-09-18 11:41:33.156000
-72.022,-78.886,2012-09-18 11:41:33.453000
-87.149,-80.539,2012-09-18 11:41:33.750000
-87.657,-47.361,2012-09-18 11:41:34.031000
-86.143,-79.718,2012-09-18 11:41:34.312000
-87.456,-80.02,2012-09-18 11:41:34.625000
-73.805,-83.711,2012-09-18 11:41:34.890000
-90.099,-84.964,2012-09-18 11:41:35.171000
-89.992,-84.587,2012-09-18 11:41:35.421000
-84.816,-86.215,2012-09-18 11:41:35.765000
-86.065,-85.507,2012-09-18 11:41:36.046000
-87.085,-81.255,2012-09-18 11:41:36.328000
-87.572,-87.697,2012-09-18 11:41:36.640000
-87.226,-86,2012-09-18 11:41:36.921000
-87.308,-87.181,2012-09-18 11:41:37.203000
-88.085,-60.951,2012-09-18 11:41:37.484000
-86.602,-85.926,2012-09-18 11:41:37.781000
-89.468,-84.713,2012-09-18 11:41:38.062000
-89.17,-85.775,2012-09-18 11:41:38.359000
-71.687,-84.902,2012-09-18 11:41:38.656000
-72.07,-47.202,2012-09-18 11:41:38.937000
-73.155,-87.231,2012-09-18 11:41:39.234000
-72.23,-87.172,2012-09-18 11:41:39.531000
-71.827,-85.26,2012-09-18 11:41:39.828000
-71.215,-80.034,2012-09-18 11:41:40.109000
-71.561,-79.628,2012-09-18 11:41:40.390000
-71.891,-80.767,2012-09-18 11:41:40.703000
-71.294,-79.318,2012-09-18 11:41:40.984000
-71.932,-81.097,2012-09-18 11:41:41.265000
-72.036,-79.273,2012-09-18 11:41:41.562000
-72.342,-79.586,2012-09-18 11:41:41.859000
-72.076,-80.751,2012-09-18 11:41:42.140000
-71.716,-58.27,2012-09-18 11:41:42.421000
-71.986,-81.056,2012-09-18 11:41:42.734000
-71.58,-79.589,2012-09-18 11:41:43.015000
-72.128,-80.587,2012-09-18 11:41:43.296000
-67.81,-80.87,2012-09-18 11:41:43.593000
-72.576,-47.346,2012-09-18 11:41:43.890000
-71.776,-79.941,2012-09-18 11:41:44.171000
-72.375,-80.004,2012-09-18 11:41:44.468000
-71.919,-80.981,2012-09-18 11:41:44.765000
-71.169,-79.271,2012-09-18 11:41:45.078000
-72.349,-81.612,2012-09-18 11:41:45.359000
-72.085,-79.2,2012-09-18 11:41:45.656000
-71.92,-80.948,2012-09-18 11:41:45.984000
-72.039,-82.573,2012-09-18 11:41:46.265000
-71.851,-80.749,2012-09-18 11:41:46.546000
-72.03,-79.307,2012-09-18 11:41:46.859000
-72.033,-59.92,2012-09-18 11:41:47.140000
-72.151,-79.984,2012-09-18 11:41:47.437000
-71.548,-81.331,2012-09-18 11:41:47.718000
-71.656,-80.875,2012-09-18 11:41:48.015000
-71.937,-79.118,2012-09-18 11:41:48.296000
-71.829,-47.284,2012-09-18 11:41:48.578000
-72.342,-79.815,2012-09-18 11:41:48.875000
-71.56,-80.285,2012-09-18 11:41:49.171000
-71.673,-78.273,2012-09-18 11:41:49.453000
-71.515,-79.892,2012-09-18 11:41:49.765000
-71.942,-78.968,2012-09-18 11:41:50.046000
-71.947,-80.276,2012-09-18 11:41:50.343000
-71.959,-80.647,2012-09-18 11:41:50.625000
-71.666,-80.059,2012-09-18 11:41:50.921000
-71.431,-79.063,2012-09-18 11:41:51.218000
-71.909,-79.897,2012-09-18 11:41:51.500000
-71.885,-82.222,2012-09-18 11:41:51.796000
-71.721,-58.718,2012-09-18 11:41:52.093000
-71.652,-81.473,2012-09-18 11:41:52.375000
-71.768,-81.76,2012-09-18 11:41:52.656000
-72.249,-79.218,2012-09-18 11:41:52.968000
-71.967,-79.121,2012-09-18 11:41:53.250000
-71.329,-47.656,2012-09-18 11:41:53.531000
